"DateTime";"Without Channels";"With Channels"
"2018-06-17 00:00:00";1204;1433
"2018-06-18 00:00:00";1215;1439
"2018-06-19 00:00:00";1218;1446
"2018-06-20 00:00:00";1238;1433
"2018-06-21 00:00:00";1247;1437
"2018-06-22 00:00:00";1264;1430
"2018-06-23 00:00:00";1271;1431
"2018-06-24 00:00:00";1280;1427
"2018-06-25 00:00:00";1293;1417
"2018-06-26 00:00:00";1282;1463
"2018-06-27 00:00:00";1284;1466
"2018-06-28 00:00:00";1289;1485
"2018-06-29 00:00:00";1295;1492
"2018-06-30 00:00:00";1323;1482
"2018-07-01 00:00:00";1323;1495
"2018-07-02 00:00:00";1334;1499
"2018-07-03 00:00:00";1343;1501
"2018-07-04 00:00:00";1376;1486
"2018-07-05 00:00:00";1379;1503
"2018-07-06 00:00:00";1381;1511
"2018-07-07 00:00:00";1391;1511
"2018-07-08 00:00:00";1403;1508
"2018-07-09 00:00:00";1405;1512
"2018-07-10 00:00:00";1413;1515
"2018-07-11 00:00:00";1413;1526
"2018-07-12 00:00:00";1417;1529
"2018-07-13 00:00:00";1419;1539
"2018-07-14 00:00:00";1437;1524
"2018-07-15 00:00:00";1444;1524
"2018-07-16 00:00:00";1466;1513
"2018-07-17 00:00:00";1483;1507
"2018-07-18 00:00:00";1501;1502
"2018-07-19 00:00:00";1513;1502
"2018-07-20 00:00:00";1513;1517
"2018-07-21 00:00:00";1514;1526
"2018-07-22 00:00:00";1526;1527
"2018-07-23 00:00:00";1538;1526
"2018-07-24 00:00:00";1589;1495
"2018-07-25 00:00:00";1632;1462
"2018-07-26 00:00:00";1678;1432
"2018-07-27 00:00:00";0;1442
"2018-07-28 00:00:00";0;1461
"2018-07-29 00:00:00";0;1450
"2018-07-30 00:00:00";0;1455
"2018-07-31 00:00:00";0;1458
"2018-08-01 00:00:00";1;1422
"2018-08-02 00:00:00";1;1395
"2018-08-03 00:00:00";1;1381
"2018-08-04 00:00:00";0;1481
"2018-08-05 00:00:00";0;1482
"2018-08-06 00:00:00";0;1483
"2018-08-07 00:00:00";0;1494
"2018-08-08 00:00:00";0;1496
"2018-08-09 00:00:00";0;1496
"2018-08-10 00:00:00";0;1485
"2018-08-11 00:00:00";0;1487
"2018-08-12 00:00:00";0;1489
"2018-08-13 00:00:00";0;1490
"2018-08-14 00:00:00";0;1494
"2018-08-15 00:00:00";0;1497
"2018-08-16 00:00:00";0;1504
"2018-08-17 00:00:00";0;1520
"2018-08-18 00:00:00";0;1531
"2018-08-19 00:00:00";0;1519
"2018-08-20 00:00:00";0;1519
"2018-08-21 00:00:00";0;1512
"2018-08-22 00:00:00";0;1541
"2018-08-23 00:00:00";0;1544
"2018-08-24 00:00:00";0;1549
"2018-08-25 00:00:00";0;1560
"2018-08-26 00:00:00";0;1562
"2018-08-27 00:00:00";0;1562
"2018-08-28 00:00:00";0;1572
"2018-08-29 00:00:00";0;1580
"2018-08-30 00:00:00";0;1603
"2018-08-31 00:00:00";0;1616
"2018-09-01 00:00:00";0;1627
"2018-09-02 00:00:00";0;1624
"2018-09-03 00:00:00";1;1625
"2018-09-04 00:00:00";0;1631
"2018-09-05 00:00:00";0;1634
"2018-09-06 00:00:00";0;1638
"2018-09-07 00:00:00";0;1623
"2018-09-08 00:00:00";0;1622
"2018-09-09 00:00:00";0;1622
"2018-09-10 00:00:00";0;1626
"2018-09-11 00:00:00";0;1627
"2018-09-12 00:00:00";0;1629
"2018-09-13 00:00:00";0;1622
"2018-09-14 00:00:00";0;1626
"2018-09-15 00:00:00";0;1606
"2018-09-16 00:00:00";0;1615
"2018-09-17 00:00:00";0;1620
"2018-09-18 00:00:00";0;1628
"2018-09-19 00:00:00";0;1571
"2018-09-20 00:00:00";0;1569
"2018-09-21 00:00:00";0;1550
"2018-09-22 00:00:00";0;1548
"2018-09-23 00:00:00";0;1553
"2018-09-24 00:00:00";0;1560
"2018-09-25 00:00:00";0;1564
"2018-09-26 00:00:00";0;1566
"2018-09-27 00:00:00";0;1568
"2018-09-28 00:00:00";0;1574
"2018-09-29 00:00:00";0;1582
"2018-09-30 00:00:00";0;1588
"2018-10-01 00:00:00";0;1593
"2018-10-02 00:00:00";0;1658
"2018-10-03 00:00:00";0;1659
"2018-10-04 00:00:00";0;1672
"2018-10-05 00:00:00";0;1665
"2018-10-06 00:00:00";0;1665
"2018-10-07 00:00:00";0;1665
"2018-10-08 00:00:00";0;1665
"2018-10-09 00:00:00";0;1665
"2018-10-10 00:00:00";0;1665
"2018-10-11 00:00:00";0;1665
"2018-10-12 00:00:00";0;1681
"2018-10-13 00:00:00";0;1683
"2018-10-14 00:00:00";0;1680
"2018-10-15 00:00:00";0;1681
"2018-10-16 00:00:00";0;1677
"2018-10-17 00:00:00";0;1675
"2018-10-18 00:00:00";0;1668
"2018-10-19 00:00:00";0;1675
"2018-10-20 00:00:00";0;1689
"2018-10-21 00:00:00";0;1692
"2018-10-22 00:00:00";0;1709
"2018-10-23 00:00:00";0;1685
"2018-10-24 00:00:00";0;1681
"2018-10-25 00:00:00";47;1643
"2018-10-26 00:00:00";48;1646
"2018-10-27 00:00:00";47;1658
"2018-10-28 00:00:00";47;1662
"2018-10-29 00:00:00";47;1666
"2018-10-30 00:00:00";47;1674
"2018-10-31 00:00:00";48;1675
"2018-11-01 00:00:00";48;1691
"2018-11-02 00:00:00";49;1691
"2018-11-03 00:00:00";48;1695
"2018-11-04 00:00:00";49;1699
"2018-11-05 00:00:00";49;1704
"2018-11-06 00:00:00";48;1710
"2018-11-07 00:00:00";48;1710
"2018-11-08 00:00:00";48;1697
"2018-11-09 00:00:00";48;1699
"2018-11-10 00:00:00";48;1698
"2018-11-11 00:00:00";49;1702
"2018-11-12 00:00:00";49;1702
"2018-11-13 00:00:00";49;1699
"2018-11-14 00:00:00";49;1703
"2018-11-15 00:00:00";49;1716
"2018-11-16 00:00:00";49;1733
"2018-11-17 00:00:00";49;1749
"2018-11-18 00:00:00";48;1755
"2018-11-19 00:00:00";48;1763
"2018-11-20 00:00:00";48;1891
"2018-11-21 00:00:00";48;1891
"2018-11-22 00:00:00";48;1874
"2018-11-23 00:00:00";54;1789
"2018-11-24 00:00:00";52;1798
"2018-11-25 00:00:00";62;1810
"2018-11-26 00:00:00";52;1816
"2018-11-27 00:00:00";50;1853
"2018-11-28 00:00:00";50;1836
"2018-11-29 00:00:00";52;1830
"2018-11-30 00:00:00";53;1838
"2018-12-01 00:00:00";53;1842
"2018-12-02 00:00:00";54;1857
"2018-12-03 00:00:00";54;1860
"2018-12-04 00:00:00";54;1863
"2018-12-05 00:00:00";53;1878
"2018-12-06 00:00:00";54;1891
"2018-12-07 00:00:00";52;1908
"2018-12-08 00:00:00";52;1891
"2018-12-09 00:00:00";52;1894
"2018-12-10 00:00:00";58;1886
"2018-12-11 00:00:00";58;1891
"2018-12-12 00:00:00";58;1907
"2018-12-13 00:00:00";58;1920
"2018-12-14 00:00:00";58;1929
"2018-12-15 00:00:00";58;1935
"2018-12-16 00:00:00";56;1951
"2018-12-17 00:00:00";56;1979
