"DateTime";"BTC";"USD"
"2018-04-29 00:00:00";17,0092047;158922,44245760402
"2018-04-30 00:00:00";16,89976531;156751,4071657616
"2018-05-01 00:00:00";16,89976531;152291,39010279952
"2018-05-02 00:00:00";16,89976531;154392,19992848558
"2018-05-03 00:00:00";16,93531839;157067,4571739745
"2018-05-04 00:00:00";16,99416706;164066,78704735797
"2018-05-05 00:00:00";17,3099429;170205,552745978
"2018-05-06 00:00:00";17,76884501;170600,99089086129
"2018-05-07 00:00:00";17,95351389;168176,4892672137
"2018-05-08 00:00:00";18,25075256;168948,4940005992
"2018-05-09 00:00:00";18,42111557;169763,29054729332
"2018-05-10 00:00:00";18,40067213;171966,6095051771
"2018-05-11 00:00:00";18,45833593;159584,6811999231
"2018-05-12 00:00:00";18,57021639;156936,89871188998
"2018-05-13 00:00:00";18,66689715;160007,22896962648
"2018-05-14 00:00:00";18,87245271;163714,37531965383
"2018-05-15 00:00:00";18,70777431;162876,9920970978
"2018-05-16 00:00:00";18,79166967;156327,14831794318
"2018-05-17 00:00:00";18,93230005;157582,24217417298
"2018-05-18 00:00:00";19,0966502;155207,833533998
"2018-05-19 00:00:00";19,50264782;160934,0945723362
"2018-05-20 00:00:00";19,50610337;162754,63517653864
"2018-05-21 00:00:00";19,65371635;166834,108905918
"2018-05-22 00:00:00";20,02348192;165532,12268444797
"2018-05-23 00:00:00";20,36240848;160801,93976655998
"2018-05-24 00:00:00";20,66085792;156880,58009808962
"2018-05-25 00:00:00";20,83964689;155789,2810838218
"2018-05-26 00:00:00";20,86445743;157424,8350442416
"2018-05-27 00:00:00";20,88759633;153290,93632642052
"2018-05-28 00:00:00";20,93271974;151649,8094099962
"2018-05-29 00:00:00";21,14059776;156788,18625715197
"2018-05-30 00:00:00";21,37671343;160208,2063354036
"2018-05-31 00:00:00";21,83840494;164969,7131413034
"2018-06-01 00:00:00";22,20608525;166676,4332171225
"2018-06-02 00:00:00";22,44142556;171453,8377639336
"2018-06-03 00:00:00";21,22525055;163732,007247711
"2018-06-04 00:00:00";21,1090999;159633,979446767
"2018-06-05 00:00:00";21,72816704;162920,40384596479
"2018-06-06 00:00:00";20,69116546;157651,7831660688
"2018-06-07 00:00:00";22,30381581;171844,209671307
"2018-06-08 00:00:00";22,30381581;170547,4658201136
"2018-06-09 00:00:00";21,14322611;161461,0919180594
"2018-06-10 00:00:00";21,15485577;153551,46286375652
"2018-06-11 00:00:00";21,425777;145538,44691236
"2018-06-12 00:00:00";20,75032073;142251,3337260274
"2018-06-13 00:00:00";20,65263222;133974,2447901066
"2018-06-14 00:00:00";20,72965959;135214,1797940766
"2018-06-15 00:00:00";21,22241066;139887,94431360322
"2018-06-16 00:00:00";21,92932927;142674,62845683968
"2018-06-17 00:00:00";23,22108101;152127,5713883827
"2018-06-18 00:00:00";23,52816586;152610,742217718
"2018-06-19 00:00:00";23,64428966;159516,9095198798
"2018-06-20 00:00:00";23,07165385;153941,2266998935
"2018-06-21 00:00:00";23,53785906;158622,5737197024
"2018-06-22 00:00:00";23,8416477;151638,601367448
"2018-06-23 00:00:00";24,19246147;148516,0694166418
"2018-06-24 00:00:00";24,06679644;143453,0281961928
"2018-06-25 00:00:00";23,3442785;144353,781517665
"2018-06-26 00:00:00";23,24988982;144525,0351034912
"2018-06-27 00:00:00";23,9297636;146313,274984208
"2018-06-28 00:00:00";25,26692048;154576,19742811038
"2018-06-29 00:00:00";26,23187848;155051,387319584
"2018-06-30 00:00:00";26,15496211;167053,0507446755
"2018-07-01 00:00:00";26,76096644;170578,14662386163
"2018-07-02 00:00:00";27,08908825;172620,0679463575
"2018-07-03 00:00:00";27,97943483;185179,9308619169
"2018-07-04 00:00:00";29,18977548;190703,2249614456
"2018-07-05 00:00:00";29,80355931;198705,69456044582
"2018-07-06 00:00:00";30,66148218;203290,226075727
"2018-07-07 00:00:00";32,96663965;218841,4549894055
"2018-07-08 00:00:00";38,19473078;260801,260711996
"2018-07-09 00:00:00";45,8853136;310822,984648176
"2018-07-10 00:00:00";54,67737853;350539,9543985418
"2018-07-11 00:00:00";55,84343105;357084,67707180954
"2018-07-12 00:00:00";62,08956902;384997,54883093364
"2018-07-13 00:00:00";69,0805965;432503,94340298994
"2018-07-14 00:00:00";69,41144599;435050,120031523
"2018-07-15 00:00:00";72,72029966;460896,89602710033
"2018-07-16 00:00:00";73,588923;488316,9599080199
"2018-07-17 00:00:00";77,39983012;520722,0631000228
"2018-07-18 00:00:00";79,95928798;587827,9019208882
"2018-07-19 00:00:00";82,23884292;608690,79587238
"2018-07-20 00:00:00";87,73911866;653502,890559345
"2018-07-21 00:00:00";93,50882004;687323,4904692144
"2018-07-22 00:00:00";101,43720362;754977,8334749723
"2018-07-23 00:00:00";106,15653417;816479,6281310376
"2018-07-24 00:00:00";111,77397618;913951,2129491004
"2018-07-25 00:00:00";113,92443549;933129,9877227821
"2018-07-26 00:00:00";114,58497578;942806,3265675978
"2018-07-27 00:00:00";75,20305781;597546,9526855418
"2018-07-28 00:00:00";76,01132238;622077,4224711438
"2018-07-29 00:00:00";75,92908716;622865,28424527
"2018-07-30 00:00:00";83,67837173;682271,6039005549
"2018-07-31 00:00:00";92,16000741;735558,5103415812
"2018-08-01 00:00:00";93,43460687;709427,4800043299
"2018-08-02 00:00:00";92,37869879;701491,5060666834
"2018-08-03 00:00:00";91,65518264;679870,648268728
"2018-08-04 00:00:00";94,21895523;698606,2295334333
"2018-08-05 00:00:00";94,37630547;664033,5728130295
"2018-08-06 00:00:00";94,14482046;658842,3996467629
"2018-08-07 00:00:00";93,79663738;661799,9963956922
"2018-08-08 00:00:00";94,04158932;612759,9493548288
"2018-08-09 00:00:00";93,0968705;593885,41823101
"2018-08-10 00:00:00";91,59063114;591377,807613195
"2018-08-11 00:00:00";91,33028588;562347,0559460652
"2018-08-12 00:00:00";91,34470143;579475,2572726769
"2018-08-13 00:00:00";77,37930656;491874,7166307552
"2018-08-14 00:00:00";79,21020156;480801,962959122
"2018-08-15 00:00:00";80,38984653;512457,9390809298
"2018-08-16 00:00:00";80,36001463;511220,67987064685
"2018-08-17 00:00:00";80,74212587;524526,6871317984
"2018-08-18 00:00:00";81,5938844;530938,749240396
"2018-08-19 00:00:00";82,02531048;525648,5389207175
